s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5425
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5426
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5382
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5324
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5206
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5205
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001399	deep brachial artery	deep brachial artery	5118
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001399	deep brachial artery	deep brachial artery	5126
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001399	deep brachial artery	deep brachial artery	5127
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001399	deep brachial artery	deep brachial artery	5128
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001399	deep brachial artery	deep brachial artery	5129
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001398	brachial artery	brachial artery	5137
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001398	brachial artery	brachial artery	5138
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001398	brachial artery	brachial artery	5139
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001398	brachial artery	brachial artery	5140
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5148
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5149
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5150
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5151
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5159
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5160
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5161
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5162
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5203
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5204
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001399	deep brachial artery	deep brachial artery	5116
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001404	radial artery	radial artery	5456
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035539	esophageal artery	esophageal artery	4675
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001187	testicular artery	testicular artery	4666
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035322	right common iliac artery	right common iliac artery	4359
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001185	right renal artery	right renal artery	4455
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001185	right renal artery	right renal artery	4456
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001185	right renal artery	right renal artery	4457
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001185	right renal artery	right renal artery	4458
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001188	right testicular artery	right testicular artery	4466
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001188	right testicular artery	right testicular artery	4467
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001188	right testicular artery	right testicular artery	4468
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035322	right common iliac artery	right common iliac artery	4358
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001188	right testicular artery	right testicular artery	4469
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001182	superior mesenteric artery	superior mesenteric artery	4478
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001182	superior mesenteric artery	superior mesenteric artery	4479
